rank,title,artist,release_date,genres
1,OK Computer,Radiohead,16 June 1997,"Alternative Rock, Art Rock"
2,To Pimp a Butterfly,Kendrick Lamar,15 March 2015,"Conscious Hip Hop, Jazz Rap"
3,★ [Blackstar],David Bowie,8 January 2016,"Art Rock, Experimental Rock"
4,F♯A♯∞,Godspeed You Black Emperor!,14 August 1997,"Post-Rock"
5,Piñata,Freddie Gibbs & Madlib,18 March 2014,"Gangsta Rap, Abstract Hip Hop"
6,Ágætis byrjun,Sigur Rós,12 June 1999,"Post-Rock, Dream Pop"
7,Kind of Blue,Miles Davis,17 August 1959,"Modal Jazz, Cool Jazz"
8,Rumours,Fleetwood Mac,4 February 1977,"Pop Rock, Soft Rock"
9,Clube da esquina,Milton Nascimento & Lô Borges,March 1972,"MPB, Psychedelic Pop"
10,Spiderland,Slint,27 March 1991,"Post-Rock, Math Rock"
